title,writer,pony,dialog
Owl's Well That Ends Well,Cindy Morrow,spike,"Dear Princess Celestia,"
Owl's Well That Ends Well,Cindy Morrow,twilight sparkle,"Oh, Spike."
Party of One,Meghan McCarthy,twilight sparkle,"Oh! Hi, Pinkie Pie..."
Party of One,Meghan McCarthy,pinkie pie,This is your singing telegram I hope it finds you well You're invited to a party 'Cause we think you're really swell
Party of One,Meghan McCarthy,pinkie pie,"[rasping voice] Next time, I think I'll just pass out written invitations."
Party of One,Meghan McCarthy,rainbow dash,"Nice one! Now, let me show you how it's really done."
Party of One,Meghan McCarthy,pinkie pie,"Hey, girls!"
Party of One,Meghan McCarthy,rainbow dash,"Hey, Pinkie Pie!"
Party of One,Meghan McCarthy,applejack,Howdy!
Party of One,Meghan McCarthy,pinkie pie,[squeal] Just wanted to tell you how happy I am that you could make it to Gummy's party.
Party of One,Meghan McCarthy,applejack,Are you kiddin'? I wouldn't have missed it for the world.
Party of One,Meghan McCarthy,rainbow dash,"Me neither. When Pinkie Pie throws a party, I am there! Ta-da!"
Party of One,Meghan McCarthy,pinkie pie,"Aw! It's just a boring old apple. Don't worry, there are plenty of other surprises in there."
Party of One,Meghan McCarthy,rainbow dash,[spits] What kind of surprises?
Party of One,Meghan McCarthy,pinkie pie,"I can't tell you that, silly. Then it wouldn't be a surprise."
Party of One,Meghan McCarthy,rarity,"This punch is simply divine. Is this the same recipe you used for your ""Spring Has Sprung"" party?"
Party of One,Meghan McCarthy,pinkie pie,Nope! Something new.
Party of One,Meghan McCarthy,pinkie pie,It's Gummy's favorite.
Party of One,Meghan McCarthy,pinkie pie,"Ooh, this is my jam!"
Party of One,Meghan McCarthy,pinkie pie,Having fun?
Party of One,Meghan McCarthy,twilight sparkle,A blast!
Party of One,Meghan McCarthy,fluttershy,"You always throw the best parties, Pinkie Pie."
Party of One,Meghan McCarthy,pinkie pie,They're always the best parties 'cause my best friends are always there!
Party of One,Meghan McCarthy,twilight sparkle,Yah!
Party of One,Meghan McCarthy,pinkie pie,"C'mon, everypony! Gummy wants to dance! Go, Gummy! It's your birthday! Go, Gummy! It's your birthday!"
Party of One,Meghan McCarthy,applejack,"Hoo-wee! I am beat! I haven't danced that much since... Well, since your last party. Thanks again for the invite!"
Party of One,Meghan McCarthy,rainbow dash,"See ya later, birthday alligator!"
Party of One,Meghan McCarthy,rarity,Bravo for hosting yet another delightful soiree.
Party of One,Meghan McCarthy,fluttershy,It's been lovely.
Party of One,Meghan McCarthy,pinkie pie,You sure you don't wanna stay? There's still some cake left.
Party of One,Meghan McCarthy,twilight sparkle,"Uh, I think I'm gonna pass. Great party though. We should do this again soon."
Party of One,Meghan McCarthy,pinkie pie,[gasp] We should do this again soon!
Party of One,Meghan McCarthy,twilight sparkle,"Oh! Hi, Pinki-"
Party of One,Meghan McCarthy,pinkie pie,It's soon!
Party of One,Meghan McCarthy,twilight sparkle,Pardon me?
Party of One,Meghan McCarthy,pinkie pie,"You said we should have another party soon, and... it's soon! Here's your invitation!"
Party of One,Meghan McCarthy,twilight sparkle,"""You're invited to Gummy's 'after-birthday' party. This afternoon at 3 o'clock."""
Party of One,Meghan McCarthy,pinkie pie,"All our bestest friends are invited, and there's gonna be dancing, and games, and cake, and ice-cream, and punch!"
Party of One,Meghan McCarthy,twilight sparkle,"This afternoon? As in, ""this afternoon"" this afternoon?"
Party of One,Meghan McCarthy,pinkie pie,"Yes, indeedy!"
Party of One,Meghan McCarthy,twilight sparkle,"Oh, gosh. I wish I could make it, but I've gotten a bit behind in my studies. I've really gotta hit the books."
Party of One,Meghan McCarthy,pinkie pie,"I understand. Your studies come first. But don't worry, we'll be sure to save you some cake."
Party of One,Meghan McCarthy,twilight sparkle,Please do.
Party of One,Meghan McCarthy,pinkie pie,"Oh! And Twilight, you shouldn't hit the books. You should really just read them."
Party of One,Meghan McCarthy,twilight sparkle,I'll keep that in mind.
Party of One,Meghan McCarthy,applejack,"Huh? Oh, hi, Pinkie Pie! What brings you 'round these parts?"
Party of One,Meghan McCarthy,pinkie pie,"Who's ready to shake their hoof-thang?! It's an invitation to Gummy's ""after-birthday"" party this afternoon. There's gonna be dancing, and games, and cake, and ice-cream, and punch!"
Party of One,Meghan McCarthy,applejack,"This afternoon? A-as in, ""this afternoon"" this afternoon?"
Party of One,Meghan McCarthy,pinkie pie,"That's funny. That's just what Twilight said, and the answer is, ""Yes! It's this afternoon!"""
Party of One,Meghan McCarthy,applejack,"Uh, well, I... I... uh... I don't think I can make it 'cause... uh... I have to... uh... uh, you know what? I... uh... pick apples! Yep, apples! 'Cause that's what we do! With the... apples. We, uh... pick 'em!"
Party of One,Meghan McCarthy,pinkie pie,"Okey-dokey-lokey! A party is still a party, even if there are only three guests."
Party of One,Meghan McCarthy,spike,"[grunts] Anything else I can do for you, most beautiful one?"
Party of One,Meghan McCarthy,rarity,[sniff] [whimper] Hmm... perhaps you could take a bath. How do I put this delicately? You smell like a rotten apple core that's been wrapped in moldy hay and dipped in dragon perspiration.
Party of One,Meghan McCarthy,rarity,Ooh! Love the new hat. Very modern. What's the occasion?
Party of One,Meghan McCarthy,pinkie pie,"Gummy's ""after-birthday"" party is this afternoon. I'm delivering the invitations."
Party of One,Meghan McCarthy,rarity,"The party is this afternoon? As in, ""this afternoon"" this afternoon?"
Party of One,Meghan McCarthy,pinkie pie,It's so strange. Everypony keeps saying that.
Party of One,Meghan McCarthy,rarity,Oh... do they?
Party of One,Meghan McCarthy,pinkie pie,"I know it's short notice, but we had such a great time at his birthday party, I thought we could have even more fun at his after-birthday party."
Party of One,Meghan McCarthy,rarity,"And I'm sure that we would, but I'm going to have to decline. I have to... wash my hair!"
Party of One,Meghan McCarthy,pinkie pie,"Don't be silly, your hair doesn't look dirty."
Party of One,Meghan McCarthy,rarity,It doesn't?
Party of One,Meghan McCarthy,pinkie pie,Nope!
Party of One,Meghan McCarthy,rarity,See? [gag] Dirty! I have to go!
Party of One,Meghan McCarthy,pinkie pie,"Huh... No Twilight, no Applejack, no Rarity. Oh well, a party is still a party even with only two guests."
Party of One,Meghan McCarthy,rainbow dash,This afternoon?
Party of One,Meghan McCarthy,fluttershy,As in...?
Party of One,Meghan McCarthy,pinkie pie,"Yes! As in, ""this afternoon"" this afternoon!"
Party of One,Meghan McCarthy,rainbow dash,"Oh, man! We'd love to, but... we're... house-sitting this afternoon."
Party of One,Meghan McCarthy,pinkie pie,[sigh] Both of you?
Party of One,Meghan McCarthy,fluttershy,It's... uh... a big house.
Party of One,Meghan McCarthy,rainbow dash,"Uh, look at the time! We'd really better get going."
Party of One,Meghan McCarthy,pinkie pie,Wait! Maybe I could bring you some after-birthday cake and ice-cream. Who're you house-sitting for?
Party of One,Meghan McCarthy,rainbow dash,Harry.
Party of One,Meghan McCarthy,pinkie pie,Harry?
Party of One,Meghan McCarthy,rainbow dash,"Yeah, I don't think you know him."
Party of One,Meghan McCarthy,pinkie pie,That's strange. I know just about everypony around here.
Party of One,Meghan McCarthy,fluttershy,He's... a bear.
Party of One,Meghan McCarthy,pinkie pie,A bear?
Party of One,Meghan McCarthy,rainbow dash,"Yup! He's a bear all right, and he'll be pretty upset if we don't get over to his house soon."
Party of One,Meghan McCarthy,pinkie pie,Wait! There's a bear around here who lives in a house?
Party of One,Meghan McCarthy,fluttershy,"It's, uh, really more of a cave."
Party of One,Meghan McCarthy,rainbow dash,"But he's fixed up the place so much, it feels like a house."
Party of One,Meghan McCarthy,fluttershy,"And, uh, he wants us to look after his house... uh, cave... while he's, uh..."
Party of One,Meghan McCarthy,rainbow dash,A-at the beach!
Party of One,Meghan McCarthy,pinkie pie,He's vacationing at the beach?
Party of One,Meghan McCarthy,rainbow dash,Yup! He loves to...
Party of One,Meghan McCarthy,rainbow dash,Gotta go!
Party of One,Meghan McCarthy,pinkie pie,"Something strange is definitely going on around here, Gummy. Sure Rainbow Dash and Fluttershy had to house-sit for that vacationing bear, but what are the chances all my other friends would have plans this afternoon too? Rarity has to wash her hair? Applejack has to pick apples? Twilight is behind on her studies and has to hit the books? The more I think about it, the more those are starting to sound like... [gasp] excuses!"
Party of One,Meghan McCarthy,pinkie pie,That doesn't look like studying... or hitting!
Party of One,Meghan McCarthy,mrs. cake,Mrs. Ooh! You must be here for...
Party of One,Meghan McCarthy,twilight sparkle,Shh! Is Pinkie Pie around?
Party of One,Meghan McCarthy,mrs. cake,"Mrs. Oh, I don't think so."
Party of One,Meghan McCarthy,twilight sparkle,Good. I don't wanna her to know anything about this.
Party of One,Meghan McCarthy,mrs. cake,"Mrs. Yes, of course. I'll be right back."
Party of One,Meghan McCarthy,pinkie pie,But... we're friends. What wouldn't Twilight want me to know anything about? [gasp] She's coming back.
Party of One,Meghan McCarthy,mrs. cake,Mrs. There you go.
Party of One,Meghan McCarthy,pinkie pie,Time to get to the bottom of things! [gasp] I think our cover's been blown! We'll need a new disguise.
Party of One,Meghan McCarthy,rarity,"She didn't see you at the sweet shop, did she?"
Party of One,Meghan McCarthy,twilight sparkle,I don't think so.
Party of One,Meghan McCarthy,rarity,"Oh, good. I'd hate for her to ruin everything."
Party of One,Meghan McCarthy,twilight sparkle,Me too.
Party of One,Meghan McCarthy,rarity,Have you seen her?
Party of One,Meghan McCarthy,fluttershy,Not since this morning.
Party of One,Meghan McCarthy,rarity,Me neither. Can you believe she was planning on throwing an after-birthday party today?
Party of One,Meghan McCarthy,fluttershy,I'm just glad I was able to come up with an excuse for why I couldn't be there.
Party of One,Meghan McCarthy,rarity,Me too! This is obviously going to be so much better.
Party of One,Meghan McCarthy,fluttershy,"As long as we keep her from finding out about it, it will."
Party of One,Meghan McCarthy,rarity,[whispering] See you later!
Party of One,Meghan McCarthy,pinkie pie,I thought everypony loved my parties.
Party of One,Meghan McCarthy,rainbow dash,"Hi, Pinkie Pie! Uh-oh!"
Party of One,Meghan McCarthy,pinkie pie,Rainbow Dash! Wait!
Party of One,Meghan McCarthy,rainbow dash,Phew...
Party of One,Meghan McCarthy,pinkie pie,Where're you going?!
Party of One,Meghan McCarthy,rainbow dash,Ah!
Party of One,Meghan McCarthy,pinkie pie,What's the real reason you didn't want to come to Gummy's party?!
Party of One,Meghan McCarthy,pinkie pie,What's in those bags?!
Party of One,Meghan McCarthy,rainbow dash,Applejack! We have a problem!
Party of One,Meghan McCarthy,pinkie pie,I know you're IN THERE!
Party of One,Meghan McCarthy,applejack,"Oh! Howdy, pardner!"
Party of One,Meghan McCarthy,pinkie pie,Mind if I... take a look inside the barn?
Party of One,Meghan McCarthy,applejack,"No! Uh, I mean, yes, I mean... you can't come in here!"
Party of One,Meghan McCarthy,pinkie pie,Rainbow Dash just went in there.
Party of One,Meghan McCarthy,applejack,"Oh, well, she was just bringin' in some... supplies! Yup, supplies for the... renovation! Fixin' up the whole thing, top to bottom... uh, lots of construction goin' on in there right now."
Party of One,Meghan McCarthy,rainbow dash,[whispering] You heard her! Construction!
Party of One,Meghan McCarthy,pinkie pie,Okey... dokey... lokey.
Party of One,Meghan McCarthy,pinkie pie,"Secrets and lies! It's all secrets and lies with those ponies! They're up to something, Gummy! Something they don't want me to know about! Well, I'm gonna know about it! I'm gonna know about it big time! And I know just who's gonna tell me all about it. Tell me all about it big time!"
Party of One,Meghan McCarthy,spike,Wow! Nice spread!
Party of One,Meghan McCarthy,pinkie pie,"It's all yours, Spike. All you have to do is talk."
Party of One,Meghan McCarthy,spike,"That's it? Oh, you got it. Okay... uh, beautiful weather we're having, eh? I love a sunny spring day, don't you? The birds chirpin' and the flowers bloomin'."
Party of One,Meghan McCarthy,pinkie pie,"No, no, no. Talk about our friends."
Party of One,Meghan McCarthy,spike,"Oh, okay. Let's see, there's Twilight Sparkle. She's a unicorn. Good with magic. A real brainiac. And then you got Rarity. Total knockout. Twilight seems to think I don't even have a chance with her, but... eh, what does she know? Let's see. There's... there's Fluttershy, a Pegasus who's afraid of heights. Heh, what's up with that?"
Party of One,Meghan McCarthy,pinkie pie,Grr! No! You're not understanding me! I want you to confess!
Party of One,Meghan McCarthy,spike,Confess?
Party of One,Meghan McCarthy,pinkie pie,Confess!
Party of One,Meghan McCarthy,spike,"I'm the one who spilled juice all over Twilight's copy of ""Magical Mysteries and Practical Potions""!"
Party of One,Meghan McCarthy,pinkie pie,And?
Party of One,Meghan McCarthy,spike,And I'm the one who used up all the hot water in Ponyville yesterday when I took a seven-hour bubble bath!
Party of One,Meghan McCarthy,pinkie pie,Aaand?
Party of One,Meghan McCarthy,spike,"And sometimes... when no one's around... I do this: Lookin' good, Spike! Lookin' real good!"
Party of One,Meghan McCarthy,pinkie pie,No! No! No! No!
Party of One,Meghan McCarthy,spike,"W-What do you wanna hear? Tell me what you want me to say, and I'll say it!"
Party of One,Meghan McCarthy,spike,Your friends are all lying to you and avoiding you 'cause they don't like your parties and they don't want to be your friends anymore!
Party of One,Meghan McCarthy,pinkie pie,"Aha! I knew it! [balloon deflating noise] Oh no, my friends don't like my parties and they don't want to be my friends anymore."
Party of One,Meghan McCarthy,pinkie pie,Thank you all so much for coming! It means so much to Gummy.
Party of One,Meghan McCarthy,pinkie pie,"Why, thank you, Rocky."
Party of One,Meghan McCarthy,pinkie pie,"Anything for you, Madame le Flour."
Party of One,Meghan McCarthy,pinkie pie,"Oh, they're not so bad."
Party of One,Meghan McCarthy,pinkie pie,"Oh, c'mon now. ""Losers"" might be a little strong, dont'cha think?"
Party of One,Meghan McCarthy,pinkie pie,"Well, it was pretty rude..."
Party of One,Meghan McCarthy,pinkie pie,"It was, wasn't it?"
Party of One,Meghan McCarthy,pinkie pie,You know what? I'm not gonna speak to them ever again. And I'm not gonna invite them to another party as long as I live! They don't deserve to be invited to my parties. [plink] Not after the way they've been acting.
Party of One,Meghan McCarthy,pinkie pie,Who could that be?
Party of One,Meghan McCarthy,rainbow dash,"Hey there, Pinkie Pie! Sorry I was in such a rush earlier. Had some place to be and couldn't slow down and say, ""Hello."" You know how it goes."
Party of One,Meghan McCarthy,pinkie pie,"I know how it goes, all right!"
Party of One,Meghan McCarthy,rainbow dash,"Yeah... so, why don't you come with me over to Sweet Apple Acres?"
Party of One,Meghan McCarthy,pinkie pie,"No thanks. I'm spending time with my real friends. Isn't that right, Madame le Flour?"
Party of One,Meghan McCarthy,rainbow dash,Uh... Pinkie Pie?
Party of One,Meghan McCarthy,pinkie pie,"Another slice of cake, Sir Lintsalot?"
Party of One,Meghan McCarthy,rainbow dash,Aaallrighty. What do you say we get on out of Creepytown and head over to Applejack's...
Party of One,Meghan McCarthy,pinkie pie,I most certainly am not. I'm having a wonderful time right here.
Party of One,Meghan McCarthy,rainbow dash,You should really just come with me.
Party of One,Meghan McCarthy,rainbow dash,"Who you calling a chump, chump?! Ugh... That's it. Party's over. Come on, Pinkie Pie!"
Party of One,Meghan McCarthy,pinkie pie,No!
Party of One,Meghan McCarthy,rainbow dash,"Pinkie Pie, let's go!"
Party of One,Meghan McCarthy,pinkie pie,I said no!
Party of One,Meghan McCarthy,rainbow dash,You... [grunts] have to... come with... me!
Party of One,Meghan McCarthy,pinkie pie,No... I... Don't!
Party of One,Meghan McCarthy,rainbow dash,"Oh, you wanna do this the hard way?! We'll do this the hard way!"
Party of One,Meghan McCarthy,rainbow dash,[grunting] [panting] We're... here...
Party of One,Meghan McCarthy,fluttershy,I really thought she'd be more excited.
Party of One,Meghan McCarthy,pinkie pie,Excited? Excited?! Why would I be excited to attend my own farewell party?!
Party of One,Meghan McCarthy,twilight sparkle,Farewell party?
Party of One,Meghan McCarthy,pinkie pie,"Yes! You don't like me anymore, so you decided to kick me out of the group and throw a great, big party to celebrate! A ""Farewell to Pinkie Pie"" party!"
Party of One,Meghan McCarthy,applejack,"Why in the world would you think we didn't like you anymore, sugarcube?"
Party of One,Meghan McCarthy,pinkie pie,"Why? Why? Why?! Because you've been lying to me and avoiding me all day, that's why!"
Party of One,Meghan McCarthy,rainbow dash,"Uh, yeah! Because we wanted your party to be a surprise."
Party of One,Meghan McCarthy,rarity,"We'd been planning this party for such a long time, we had to make excuses for why we couldn't attend Gummy's party so that we could get everything ready for yours."
Party of One,Meghan McCarthy,twilight sparkle,"If this is a farewell party, why does the cake I picked up from Sugarcube Corner say ""Happy Birthday, Pinkie Pie""?"
Party of One,Meghan McCarthy,pinkie pie,"[squeak] Because it's my birthday! Ooh, how could I have forgotten my own birthday?"
Party of One,Meghan McCarthy,pinkie pie,And you like me so much you decided to throw me a surprise party!
Party of One,Meghan McCarthy,rarity,"That's what we've been trying to tell you, darling."
Party of One,Meghan McCarthy,pinkie pie,You girls are the best friends ever! How could I have ever doubted you?
Party of One,Meghan McCarthy,twilight sparkle,"It's okay, Pinkie Pie. It could have happened to any of us."
Party of One,Meghan McCarthy,rainbow dash,Uh-huh! It sure would.
Party of One,Meghan McCarthy,fluttershy,Don't worry about it.
Party of One,Meghan McCarthy,rainbow dash,I'm just glad I haven't been replaced by a bucket of turnips.
Party of One,Meghan McCarthy,twilight sparkle,Huh?
Party of One,Meghan McCarthy,rainbow dash,You don't wanna know.
Party of One,Meghan McCarthy,applejack,"All right, girls! Enough of this gab. Let's party!"
Party of One,Meghan McCarthy,twilight sparkle,"Dear Princess Celestia,"
Party of One,Meghan McCarthy,twilight sparkle,"I am writing to you from the most delightful party. I'm not only having a great time with my friends, but also was given the opportunity to learn a valuable lesson about friendship. Always expect the best from your friends, and never assume the worst. Rest assured that a good friend always has your best interests at heart."
Party of One,Meghan McCarthy,pinkie pie,"You girls wouldn't mind if we celebrated Gummy's after-birthday party too, would you? His party was cut short, and he's pretty upset about it."
Party of One,Meghan McCarthy,fluttershy,"Oh, definitely."
Party of One,Meghan McCarthy,rarity,"Aww, he was upset?"
Party of One,Meghan McCarthy,applejack,"Uh-huh, sure!"
Party of One,Meghan McCarthy,rainbow dash,"For Gummy, yeah!"
The Best Night Ever,Amy Keating Rogers,pinkie pie,Ahh! I... can't... believe... the Grand... Galloping... Gala... is... tonight!
The Best Night Ever,Amy Keating Rogers,twilight sparkle,"Pinkie! Please stop shouting, I'm trying to concentrate."
The Best Night Ever,Amy Keating Rogers,rarity,"Pinkie Pie! Stop that right now. It's time to prepare for the Gala, and I refuse to let you put on your new dress when you're all sweaty."
The Best Night Ever,Amy Keating Rogers,pinkie pie,What's Twilight doing?
The Best Night Ever,Amy Keating Rogers,spike,She's got an awesome magic spell she's been working on for the Gala.
The Best Night Ever,Amy Keating Rogers,rarity,Where are the others? It's getting late.
The Best Night Ever,Amy Keating Rogers,applejack,"Hold your horses, girl. We're here."
The Best Night Ever,Amy Keating Rogers,twilight sparkle,Perfect! I'm ready.
The Best Night Ever,Amy Keating Rogers,rainbow dash,For what?
The Best Night Ever,Amy Keating Rogers,twilight sparkle,"All right, Spike."
The Best Night Ever,Amy Keating Rogers,pinkie pie,An apple! Are we having pie?
The Best Night Ever,Amy Keating Rogers,spike,Shh! Watch!
The Best Night Ever,Amy Keating Rogers,twilight sparkle,"Thanks. But that's just the start. Fluttershy, did you bring your friends?"
The Best Night Ever,Amy Keating Rogers,fluttershy,"Yes. Will they be safe, Twilight?"
The Best Night Ever,Amy Keating Rogers,twilight sparkle,You have my word.
The Best Night Ever,Amy Keating Rogers,twilight sparkle,Ta-da!
The Best Night Ever,Amy Keating Rogers,twilight sparkle,"Neat, huh? And don't worry. They'll be mice again at midnight."
The Best Night Ever,Amy Keating Rogers,fluttershy,"Opalescence, no!"
The Best Night Ever,Amy Keating Rogers,twilight sparkle,Wait! Come back! Those horses were supposed to pull our carriage. How will we get to the Gala?
The Best Night Ever,Amy Keating Rogers,rarity,Whatever shall we do?
The Best Night Ever,Amy Keating Rogers,rarity,"Uh... ahem. Excuse me. Uh, would you boys mind pulling our carriage to the Gala?"
The Best Night Ever,Amy Keating Rogers,twilight sparkle,Oh. Yeah. Right.
The Best Night Ever,Amy Keating Rogers,pinkie pie,Ooh!
The Best Night Ever,Amy Keating Rogers,spike,"Come on, you guys. Let me in!"
The Best Night Ever,Amy Keating Rogers,rainbow dash,"Sure thing, Spike."
The Best Night Ever,Amy Keating Rogers,rarity,Heavens no! We're getting dressed.
The Best Night Ever,Amy Keating Rogers,applejack,"Dressed? Uh, beg pardon, Rarity, but, uh... we don't normally wear clothes."
The Best Night Ever,Amy Keating Rogers,rarity,"[moan] I'm sorry, Spike. Some of us do have standards."
The Best Night Ever,Amy Keating Rogers,spike,"I still can't believe we're gonna be at Canterlot tonight. Our hometown, Twilight! And the best part is that we all get to hang out together all night long!"
The Best Night Ever,Amy Keating Rogers,rainbow dash,"Uh... I-I don't know, Spike."
The Best Night Ever,Amy Keating Rogers,rarity,We'll just have to see.
The Best Night Ever,Amy Keating Rogers,applejack,We're gonna be a mite busy.
The Best Night Ever,Amy Keating Rogers,spike,Oh. Okay.
The Best Night Ever,Amy Keating Rogers,twilight sparkle,"Don't worry, Spike. We'll all get to spend some time together."
The Best Night Ever,Amy Keating Rogers,spike,Great!
The Best Night Ever,Amy Keating Rogers,spike,"'Cause I planned out my insider's tour of Canterlot. I've gotta show Rarity the crown jewels, and Applejack the Princess's golden apple tree. And Pinkie, we gotta go to my favorite donut shop."
The Best Night Ever,Amy Keating Rogers,spike,Then let's get moving! Hyah!
The Best Night Ever,Amy Keating Rogers,spike,Um... I...
The Best Night Ever,Amy Keating Rogers,spike,Whoa! You all look... amazing!
The Best Night Ever,Amy Keating Rogers,twilight sparkle,"I can't believe we're finally here. With all that we've imagined, the reality of this night is sure to make this... The Best Night Ever!"
The Best Night Ever,Amy Keating Rogers,twilight sparkle,At the Gala
The Best Night Ever,Amy Keating Rogers,fluttershy,At the Gala In the garden I'm going to see them all All the creatures I'll befriend them at the Gala
The Best Night Ever,Amy Keating Rogers,fluttershy,All the birdies And the critters They will love me big and small We'll become good friends forever Right here at the Gala!
The Best Night Ever,Amy Keating Rogers,applejack,"At the Gala (It's amazing) I will sell them (Better hurry) All my appletastic treats (Yummy yummy) Hungry ponies (They'll be snacking) They will buy them (Bring your money) Caramel apples, apple sweets (Gimme some) And I'll earn a lot of money for the Apple family!"
The Best Night Ever,Amy Keating Rogers,rarity,At the Gala All the royals They will meet fair Rarity They will see I'm just as regal at the Gala
The Best Night Ever,Amy Keating Rogers,rarity,I will find him My Prince Charming And how gallant he will be He will treat me like a lady Tonight at the Gala!
The Best Night Ever,Amy Keating Rogers,rainbow dash,"Been dreamin' I've been waitin' To fly with those great ponies The Wonderbolts, their daring tricks Spinning 'round and having kicks Perform for crowds of thousands They'll shower us with diamonds The Wonderbolts will see me right here at the Gala!"
The Best Night Ever,Amy Keating Rogers,pinkie pie,"I am here at the Grand Gala For it is the best party But the one thing it was missing was a pony named Pinkie For I am the best at parties, all the ponies will agree Ponies playing Ponies dancing With me at the Grand Gala!"
The Best Night Ever,Amy Keating Rogers,twilight sparkle,At the Gala (At the Gala) With the Princess (With the Princess) Is where I'm going to be (She will be) We will talk all about magic and what I've learned and seen (She will see) It is going to be so special As she takes time just for me (This will be the best night ever!)
The Best Night Ever,Amy Keating Rogers,fluttershy,Meet new friends
The Best Night Ever,Amy Keating Rogers,applejack,Sell some apples
The Best Night Ever,Amy Keating Rogers,rarity,Find my Prince
The Best Night Ever,Amy Keating Rogers,rainbow dash,As a Wonderbolt is
The Best Night Ever,Amy Keating Rogers,fluttershy,To meet!
The Best Night Ever,Amy Keating Rogers,applejack,To sell!
The Best Night Ever,Amy Keating Rogers,rarity,To find!
The Best Night Ever,Amy Keating Rogers,rainbow dash,To prove!
The Best Night Ever,Amy Keating Rogers,pinkie pie,To whoop!
The Best Night Ever,Amy Keating Rogers,twilight sparkle,To talk!
The Best Night Ever,Amy Keating Rogers,spike,Yeah! This is gonna be the best night ever. You know why? 'Cause we're all gonna spend time at the Gala to... gether. Or not.
The Best Night Ever,Amy Keating Rogers,twilight sparkle,Princess Celestia!
The Best Night Ever,Amy Keating Rogers,princess celestia,Twilight! It is so lovely to see my star student.
The Best Night Ever,Amy Keating Rogers,twilight sparkle,"Oh, I'm so excited to be here! We have so much to catch up on."
The Best Night Ever,Amy Keating Rogers,princess celestia,"Well, I want you right by my side the entire evening, so we'll have plenty of time together."
The Best Night Ever,Amy Keating Rogers,twilight sparkle,That's just what I was hoping you'd say.
The Best Night Ever,Amy Keating Rogers,rarity,"[gasp] [squeals of excitement] Hurry, Rarity... Oh, but not too fast. But don't wanna lose him... Wait! Have to play it cool. Oh, but don't be cold! I can't lose him, I can't! He's everything I imagined! Even better than I imagined."
The Best Night Ever,Amy Keating Rogers,fluttershy,Oh my! A meadowlark!
The Best Night Ever,Amy Keating Rogers,applejack,"Howdy, partner! You hungry?"
The Best Night Ever,Amy Keating Rogers,soarin,As a horse!
The Best Night Ever,Amy Keating Rogers,applejack,"Well, what'cha hankering for? Caramel apple? Apple pie? Apple fritter? Apple fries?"
The Best Night Ever,Amy Keating Rogers,soarin,I'll take that big apple pie!
The Best Night Ever,Amy Keating Rogers,applejack,"Well, thank you kindly, sir! Yee-haw! In the first minute, I made my first sale. Just like I expected."
The Best Night Ever,Amy Keating Rogers,spitfire,"Always hungry after a show. Eh, Soarin?"
The Best Night Ever,Amy Keating Rogers,soarin,Heh. Yeah! [gasp] My pie! You saved it. Thanks.
The Best Night Ever,Amy Keating Rogers,rainbow dash,"Hey, no prob."
The Best Night Ever,Amy Keating Rogers,spitfire,Hey! I know you. You're the pony that saved us in Cloudsdale and won The Best Flyer Competition.
The Best Night Ever,Amy Keating Rogers,rainbow dash,Hay yeah! Name's Rainbow Dash.
The Best Night Ever,Amy Keating Rogers,spitfire,"Well, Rainbow Dash. Looks like your skills saved us again. Oh, well, at least they saved Soarin's apple pie."
The Best Night Ever,Amy Keating Rogers,soarin,[eating noisily] Yeah...
The Best Night Ever,Amy Keating Rogers,spitfire,Wanna come hang out with us?
The Best Night Ever,Amy Keating Rogers,pinkie pie,"The shiny dance floor... The pretty party ponies... Ooh, the fancy band... Shiny! Pretty! Fancy! [anxious noise] Gotta dance!"
The Best Night Ever,Amy Keating Rogers,pinkie pie,"I'm at the Grand Galloping Gala, I'm at the Grand Galloping Gala, I'm at the Grand Galloping Gala, It's all I ever dreamed."
The Best Night Ever,Amy Keating Rogers,rarity,"I am... Rarity. Oh my, what a lovely rose."
The Best Night Ever,Amy Keating Rogers,fluttershy,[gasp] My little meadowlark is right around this bend!
The Best Night Ever,Amy Keating Rogers,fluttershy,Was that you?
The Best Night Ever,Amy Keating Rogers,fluttershy,Oh! Yes... Well... Excuse me.
The Best Night Ever,Amy Keating Rogers,fluttershy,"Oh! I see a toco toucan! And a spider monkey! And, oh! Is that a wallaroo? Oh, Fluttershy. You're such a loudmouth."
The Best Night Ever,Amy Keating Rogers,rainbow dash,"Hey, Spitfire! You ever done a rain cloud double backflip? [to Soarin] You ever soared past lightning? It's awesome!"
The Best Night Ever,Amy Keating Rogers,princess celestia,Welcome to the Grand Galloping Gala.
The Best Night Ever,Amy Keating Rogers,twilight sparkle,Princess! I've been so excited to spend time with you and...
The Best Night Ever,Amy Keating Rogers,princess celestia,"Yes. Me too, Twi... Oh, good evening! Welcome to the Gala. Which is why I... Ladies! Lovely to see you again."
The Best Night Ever,Amy Keating Rogers,twilight sparkle,[sigh] Looks like getting a chance to talk to the Princess is gonna be a magic trick in itself.
The Best Night Ever,Amy Keating Rogers,applejack,"First minute, first sale. Second... Fourth... Sixth... Sixtieth minute... no sales. [sigh] This ain't what I expected at all."
The Best Night Ever,Amy Keating Rogers,pinkie pie,I'm at the Grand Galloping Gala... and it's not what I dreamed.
The Best Night Ever,Amy Keating Rogers,rarity,This isn't at all what I imagined.
The Best Night Ever,Amy Keating Rogers,princess celestia,[in background] Good evening! So nice to see you. Welcome!
The Best Night Ever,Amy Keating Rogers,twilight sparkle,This isn't what I hoped.
